"categoria","juris_ok","juris_abrev","anio","anio_fecha","id","value_proy","share_proy","value_exec","share_exec","rel_exec_proy"
"Básico","Ministerio de Desarrollo Social","Desarrollo Social",2010,"01/01/2010","134",14393319144,0.052697797760427,16373441112,0.051959359346816,1.13757229643765
"Productivo","Ministerio de Economía","Economía",2010,"01/01/2010","135",1376158919,0.00503848651406446,8827875265,0.0280143153797299,6.41486614890006
"Básico","Ministerio de Educación","Educación",2010,"01/01/2010","136",15612757604,0.0571624886842821,17537495960,0.0556533625641548,1.12327984618853
"Productivo","Ministerio de Industria","Industria",2010,"01/01/2010","137",6278510432,0.0229873088807449,780644674,0.0024772921502015,0.124335968292933
"Interior","Ministerio de Justicia, Seguridad  y Derechos Humanos","Justicia, Seguridad  y Derechos Humanos",2010,"01/01/2010","138",13282001363,0.0486289656109559,16829687634,0.053407208752764,1.26710479648669
"Interior","Ministerio del Interior","Interior",2010,"01/01/2010","139",1045320409,0.00382719808803045,1306297208,0.00414539409156147,1.24966201439582
"Productivo","Ministerio de Planificación Federal, Inversión Pública y Servicios","Planificación",2010,"01/01/2010","140",38830177976,0.142167685264843,50467173086,0.160152161274859,1.29968946104735
"Exterior","Ministerio de Relaciones Exteriores y Culto","Cancillería",2010,"01/01/2010","141",1986021035,0.00727135511992118,2087509529,0.00662448760863835,1.05110141947716
"Básico","Ministerio de Salud","Salud",2010,"01/01/2010","142",5665272366,0.0207420800174264,6445304778,0.0204534834656357,1.1376866568113
"Básico","Ministerio de Trabajo, Empleo y Seguridad Social","Trabajo",2010,"01/01/2010","143",104660679764,0.383190790150112,119592974467,0.379515478339569,1.14267339689242
"Institucional","Ministerio Público","Ministerio Público",2010,"01/01/2010","144",863101629,0.0031600463129241,964388205,0.00306038253966671,1.11735185359035
"Financiero","Obligaciones a Cargo del Tesoro","Obligaciones a Cargo del Tesoro",2010,"01/01/2010","145",18972114000,0.0694619925159193,19062640896,0.060493246449499,1.00477157664138
"Institucional","Poder Judicial de la Nación","Poder Judicial",2010,"01/01/2010","146",3249380272,0.0118968517759824,3873390444,0.0122917891598741,1.19203974904911
"Institucional","Poder Legislativo Nacional","Poder Legislativo",2010,"01/01/2010","147",1532091129,0.0056093961134908,1943998378,0.00616907036225272,1.26885296912388
"Ejecutivo","Presidencia de la Nación","Presidencia",2010,"01/01/2010","148",1693962706,0.00620205132682728,1939618201,0.00615517034030933,1.14501824280422
"Financiero","Servicio de la Deuda Pública","Deuda Publica",2010,"01/01/2010","149",26575553000,0.0973002198696685,28275553000,0.0897294349432868,1.06396856539542
"TOTAL","TOTAL","TOTAL",2010,"01/01/2010","150",273129423917,1,315120150014,1,1.15373929873539
"Ejecutivo","Jefatura de Gabinete de Ministros","Jefatura de Gabinete",2011,"01/01/2011","151",3059055188,0.00820315706284592,3315935956,0.00779656647183906,1.08397389135302
"Productivo","Ministerio de Ciencia, Tecnología e Innovación Productiva","Ciencia",2011,"01/01/2011","152",2571677971,0.00689620716681686,2685146136,0.00631342722347976,1.04412222925247
"Exterior","Ministerio de Defensa","Defensa",2011,"01/01/2011","153",15162538284,0.0406598362471472,16829113718,0.0395693118038392,1.10991401325981
"Básico","Ministerio de Desarrollo Social","Desarrollo Social",2011,"01/01/2011","154",18696338105,0.0501360676907755,22352904255,0.0525570777527893,1.1955765952383
"Productivo","Ministerio de Economía","Economía",2011,"01/01/2011","155",9523374237,0.0255378637629114,9868835797,0.0232040169991073,1.03627512175861
"Básico","Ministerio de Educación","Educación",2011,"01/01/2011","156",19961415426,0.0535284968308304,23350104655,0.0549017367894864,1.16976197111685
"Productivo","Ministerio de Industria","Industria",2011,"01/01/2011","157",938175702,0.00251581032805209,997512809,0.00234539358572563,1.06324732869707
"Interior","Ministerio de Justicia, Seguridad  y Derechos Humanos","Justicia, Seguridad  y Derechos Humanos",2011,"01/01/2011","158",19482049473,0.052243029926387,22141396583,0.0520597721214582,1.13650243079844
"Interior","Ministerio del Interior","Interior",2011,"01/01/2011","159",2305969260,0.00618368315030038,3289166778,0.00773362566766103,1.42637060912078
"Productivo","Ministerio de Planificación Federal, Inversión Pública y Servicios","Planificación",2011,"01/01/2011","160",54049525923,0.144939114553409,69745860602,0.163989366964455,1.29040651903888
"Exterior","Ministerio de Relaciones Exteriores y Culto","Cancillería",2011,"01/01/2011","161",2311955209,0.00619973506071044,2305995171,0.0054219517122789,0.997422078949973
"Básico","Ministerio de Salud","Salud",2011,"01/01/2011","162",7390710037,0.0198189151595858,8621184476,0.0202704873450581,1.16648934038
"Básico","Ministerio de Trabajo, Empleo y Seguridad Social","Trabajo",2011,"01/01/2011","163",146734274421,0.393482374656066,160342465987,0.377003871882452,1.0927403745287
"Institucional","Ministerio Público","Ministerio Público",2011,"01/01/2011","164",1147501540,0.00307713813055849,1418811865,0.00333596944069159,1.23643569576386
"Financiero","Obligaciones a Cargo del Tesoro","Obligaciones a Cargo del Tesoro",2011,"01/01/2011","165",24596655000,0.0659583471972439,31854083571,0.0748966455493322,1.29505754221458
"Institucional","Poder Judicial de la Nación","Poder Judicial",2011,"01/01/2011","166",4572460472,0.0122615020358602,5089730114,0.0119671850373705,1.11312719818303
"Institucional","Poder Legislativo Nacional","Poder Legislativo",2011,"01/01/2011","167",2255135853,0.00604736837464797,2586875438,0.00608236907297337,1.14710403568756
"Ejecutivo","Presidencia de la Nación","Presidencia",2011,"01/01/2011","168",1887571677,0.00506170892063372,2246535947,0.00528214871293534,1.19017252397563
"Financiero","Servicio de la Deuda Pública","Deuda Publica",2011,"01/01/2011","169",36265553000,0.0972496437452186,36265553000,0.0852690758670679,1
"TOTAL","TOTAL","TOTAL",2011,"01/01/2011","170",372911936778,1,425307212858,1,1.14050308105635
"Ejecutivo","Jefatura de Gabinete de Ministros","Jefatura de Gabinete",2012,"01/01/2012","171",3533561110,0.00699535057458179,4155235927,0.00768560698131426,1.17593436129933
"Productivo","Ministerio de Ciencia, Tecnología e Innovación Productiva","Ciencia",2012,"01/01/2012","172",3096516115,0.00613013758923417,3641537626,0.00673546039088821,1.17601119799113
"Exterior","Ministerio de Defensa","Defensa",2012,"01/01/2012","173",19695697474,0.0389913473553978,22112595794,0.0408998968037048,1.12271199449476
"Básico","Ministerio de Desarrollo Social","Desarrollo Social",2012,"01/01/2012","174",27485352894,0.0544124392289415,31202093976,0.0577120133505164,1.13522624564196
"Productivo","Ministerio de Economía","Economía",2012,"01/01/2012","175",11472460641,0.0227118993102362,11280362592,0.020864382916381,0.983255723858099
"Básico","Ministerio de Educación","Educación",2012,"01/01/2012","176",27385849907,0.0542154543019473,30732396007,0.0568432506489333,1.12219982623744
"Productivo","Ministerio de Industria","Industria",2012,"01/01/2012","177",1383423092,0.00273874689590749,1377579754,0.0025479989008238,0.995776174307202
"Interior","Ministerio de Justicia, Seguridad  y Derechos Humanos","Justicia, Seguridad  y Derechos Humanos",2012,"01/01/2012","178",26516537511,0.0524944864795315,27617491521,0.0510818613838446,1.04151952378938
"Interior","Ministerio del Interior","Interior",2012,"01/01/2012","179",2272504923,0.00449885204301674,24227752902,0.0448121334423493,10.6612543087547
"Productivo","Ministerio de Planificación Federal, Inversión Pública y Servicios","Planificación",2012,"01/01/2012","180",75535345412,0.149536460663919,55747381771,0.103111465643907,0.738030407710873
